Date,Estimated earnings (NOK),Page views,Page RPM (NOK),Impressions,Impression RPM (NOK),Active View Viewable,Clicks
2025-07-01,2.49,50,49.79,153,16.27,0.5674,3
2025-07-02,2.39,69,34.67,202,11.84,0.6231,1
2025-07-03,2.23,34,65.50,111,20.06,0.6566,2
2025-07-04,3.84,72,53.38,214,17.96,0.5905,8
2025-07-05,2.94,57,51.61,166,17.72,0.5625,7
2025-07-06,1.94,45,43.21,140,13.89,0.5806,2
2025-07-07,6.31,82,76.93,241,26.17,0.6234,11
2025-07-08,2.37,66,35.92,199,11.91,0.6034,3
2025-07-09,1.92,46,41.68,133,14.42,0.6033,1
2025-07-10,2.55,48,53.14,147,17.35,0.6957,7
2025-07-11,3.21,44,72.95,139,23.09,0.6061,1
2025-07-12,1.52,37,41.04,105,14.46,0.5859,2
2025-07-13,4.01,80,50.11,257,15.60,0.5897,2
2025-07-14,4.47,83,53.87,246,18.17,0.6261,4
2025-07-15,0.92,29,31.69,85,10.81,0.6184,2
2025-07-16,3.87,69,56.14,242,16.01,0.5733,4
2025-07-17,2.00,54,36.97,136,14.68,0.5926,2
2025-07-18,2.81,64,43.96,215,13.08,0.6298,6
2025-07-19,2.52,56,45.04,156,16.17,0.6549,2
2025-07-20,2.81,49,57.44,152,18.52,0.5693,0
2025-07-21,2.14,58,36.89,170,12.59,0.6087,3
2025-07-22,1.87,42,44.57,116,16.14,0.6449,2
2025-07-23,2.66,53,50.25,156,17.07,0.5915,1
2025-07-24,1.38,46,30.10,98,14.13,0.6087,2
2025-07-25,2.21,45,49.06,125,17.66,0.6195,2
2025-07-26,3.09,67,46.10,206,14.99,0.582,2
2025-07-27,3.12,93,33.59,281,11.12,0.5633,5
2025-07-28,4.38,87,50.33,264,16.59,0.5363,7
2025-07-29,2.05,47,43.64,156,13.15,0.637,0
2025-07-30,2.74,71,38.53,216,12.67,0.7067,4
2025-07-31,2.69,67,40.14,219,12.28,0.5735,0
2025-08-01,3.54,82,43.12,258,13.70,0.6364,6
